품목보고번호,허가일자,LAST_UPDT_DTM,LCNS_NO,제품명,QLITY_MNTNC_TMLMT_DAYCNT,업소명,식품유형,CHILD_CRTFC_YN,INDUTY_CD_NM,DISPOS,포장재질,USAGE,ETQTY_XPORT_PRDLST_YN,유통기한,HIENG_LNTRT_DVS_NM,PRODUCTION,PRPOS
19900372087942 ,20260313,20260318,19900372087 ,헬시포뮬러,,(주)화인내츄럴,과.채주스,,식품제조가공업,"고유의 향미와 색택을 가지며, 이미, 이취가 없는 액상",PE 또는 PP,"소비자에게 직접 판매하지 않으며, 식품 제조시 원료로 사용",O,제조일로부터 24개월,해당없음,아니오,
19780368002664 ,20260311,20260312,19780368002 ,롯데히야제로사과,,롯데칠성음료(주),혼합음료,,식품제조가공업,고유의 색택과 향미를 지닌 액상식품,멸균팩,제품 그대로 음용한다,N,제조일로부터 9개월,아니오,아니오,
196903640042266 ,20260310,20260314,19690364004 ,트로피칼베이스,,한국에스비식품(주),음료베이스,,식품제조가공업,"고유의 색상과 향미를 가지고 이물,이미,이취가 없어야 한다.",폴리에틸렌(내면),음료 제조용,N,냉장 12개월,해당없음,아니오,
19900372087937 ,20260227,20260310,19900372087 ,유기농 착즙 100% 프리미엄 블루베리,,(주)화인내츄럴,과.채주스,,식품제조가공업,"고유의 향미가 있고 이미, 이취가 없는 청자색 액상",폴리에틸렌(PE) 또는 폴리프로필렌(PP),"1일 1회, 1회 1~3포를 원액 그대로 섭취하거나 기호에 따라 물에 희석하여 드십시오.",O,제조일로부터 24개월,해당없음,아니오,
19780614001492 ,20260224,20260310,19780614001 ,칠성사이다제로유자,,롯데칠성음료(주),탄산음료,,식품제조가공업,고유의 색택과 향미를 지닌 액상식품,"금속캔(CAN), 합성수지재(PET)",제품 그대로 음용한다,O,"캔 : 제조일로부터 12개월, 펫 : 제조일로부터 9개월",아니오,아니오,
19970378043951 ,20260223,20260226,19970378043 ,블루베리퓨레,,케이지랩(주),과.채주스,,식품제조가공업,"고유의 색채와 향미를 가지는 액상으로 이미, 이취가 없다.",PE,1일 1회 1포를 원액 그대로 섭취하시거나 물에 희석하여 섭취하십시오.,O,제조일로부터 24개월까지,해당없음,아니오,
19760263004180 ,20260220,20260221,19760263004 ,쁘띠쿨 복숭아,,(주)동원F&B수원공장,유산균음료,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로서 이미, 이취가 없어야 한다.",폴리에틸렌,직접 음용한다.,N,제조일로부터 16일,해당없음,아니오,
19810227007608 ,20260213,20260318,19810227007 ,매일야채 고농축 호박의 힘,,매일유업(주)광주공장,과.채주스,,식품제조가공업,"노란색의 불투명한 액상, 제품은 고유의 색택을 가지고 이미.이취가 없어야 한다.",테트라팩(폴리에틸렌),그대로 직접 음용 한다.,O,제조일로부터 6개월 실온보관,해당없음,아니오,
19970443044470 ,20260213,20260320,19970443044 ,오리아나야생블루베리,,(주)다정,과.채주스,,식품제조가공업,고유의 향미가 있고 이미·이취가 없는 보라색의 액상,"폴리프로필렌(PP), 폴리에틸린(PE)","1일 1~2회, 1회 1포씩 섭취하시기 바랍니다.",O,제조일로부터 24개월,해당없음,아니오,
19990555093467 ,20260213,20260304,19990555093 ,톡스올로지 클렌즈 ABC Mini,,농업회사법인(주)이비채,과.채주스,,식품제조가공업,"고유의 색과 향을 가지고 이미, 이취, 이물이 없는 과.채주스","포장재질 : 용기 ？ PET, 뚜껑 ？ PP, 박스 - 종이",음료로 직접 음용,O,제조일로부터 24개월,해당없음,아니오,
200104450021042 ,20260211,20260226,20010445002 ,하스캅 NFC 100 (HASKAP NFC 100),,엠에스바이오텍(주),과.채주스,,식품제조가공업,"고유의 향미가 있고 이미, 이취가 없는 액상","폴리에틸렌(PE), 폴리프로필렌(PP)",1일 1포를 섭취하십시오.,O,제조일로부터 24개월,해당없음,아니오,
19970378043946 ,20260210,20260212,19970378043 ,블루베리퓨레100,,케이지랩(주),과.채주스,,식품제조가공업,"고유의 색채와 향미를 가지는 액상으로 이미, 이취가 없다.",PE,1일 1회 1포를 원액 그대로 섭취하시거나 물에 희석하여 섭취하십시오.,O,제조일로부터 24개월까지,해당없음,아니오,
200104450021040 ,20260203,20260217,20010445002 ,락티브 100% NFC 블루베리즙,,엠에스바이오텍(주),과.채주스,,식품제조가공업,"고유의 향미가 있고 이미, 이취가 없는 액상","폴리에틸렌(PE), 폴리프로필렌(PP)",1일 1포를 섭취하십시오.,O,제조일로부터 24개월,해당없음,아니오,
20010515081658 ,20260128,20260203,20010515081 ,케어웰 고칼슘 시니어 과채주스,,(주)자연과사람들,과.채주스,,식품제조가공업,"액상 - 고유의 색과 향, 맛을 가지고 이미, 이취가 없어야 한다.",종이팩 (내면:폴리에틸렌수지),직접 음용,N,제조일로부터 12개월(실온),해당없음,아니오,
19710570001642 ,20260126,20260127,19710570001 ,세븐베리아이,,주식회사 네이처셀 칠곡공장,혼합음료,,식품제조가공업,"고유의 색택과 향미를 지니며 이미,이취,이물이 없을것","캔류(철,알루미늄)",제품그대로 음용한다,N,24개월,해당없음,아니오,
20020383603429 ,20260126,20260128,20020383603 ,올리브 레몬샷,해당사항 없음,(주)팜텍코리아,과.채주스,,식품제조가공업,"고유의 색택과 향미를 가지며, 이미, 이취가 없어야 한다","PE, PP 등","1일 1회, 1회 1병을 섭취하십시오.",O,제조일로부터 18개월,해당없음,아니오,
19880607021500 ,20260123,20260127,19880607021 ,유기농 블루베리,,(주)케이지앤에프,과.채주스,,식품제조가공업,고유의 향미가 있고 이미·이취가 없는 탁한 자주색의 액상,PE(폴리에틸렌),"1일 1~3회, 1회 1포를 원액 그대로 섭취하거나 기호에 따라 물에 희석하여 섭취하십시오.",O,제조일로부터 24개월,해당없음,아니오,
19780614001491 ,20260116,20260226,19780614001 ,펩시제로슈거피치향,,롯데칠성음료(주),탄산음료,,식품제조가공업,고유의 색택과 향미를 지닌 액상식품,"금속캔(CAN), 합성수지재(PET)",제품 그대로 음용한다,O,"캔 : 제조일로부터 12개월, 펫 : 제조일로부터 9개월",아니오,아니오,
20020383603322 ,20260116,20260131,20020383603 ,GIS3Zone 올리브 레몬샷,해당사항 없음,(주)팜텍코리아,과.채주스,,식품제조가공업,"[액상]고유의 색택과 향미를 가지며, 이미,이취가 없어야 한다.[올리브유연질캡슐]고유의 향미가 있고, 이미,이취가 없는 투명한 타원형 연질캡슐","용기(PP), 홀컵(PP), 스크류캡(HDPE), 리드지(OTHER)","1일 1회, 1회 1병을 섭취하십시오.",O,제조일로부터 18개월,해당없음,아니오,
19760263004179 ,20260114,20260120,19760263004 ,쿨피스 바나나,,(주)동원F&B수원공장,유산균음료,,식품제조가공업,"고유의 색택과 향미를 가진 액상으로서 이미, 이취가 없음",내면 : 폴리에틸렌,직접 음용한다,N,제조일로부터 16일,해당없음,아니오,
200104450021031 ,20260113,20260211,20010445002 ,유기농 100% 착즙 블루베리 스틱,,엠에스바이오텍(주),과.채주스,,식품제조가공업,"고유의 향미가 있고 이미, 이취가 없는 액상","폴리에틸렌(PE), 폴리프로필렌(PP)",1일 1포를 섭취하십시오.,O,제조일로부터 24개월,해당없음,아니오,
196903640042257 ,20260112,20260220,19690364004 ,베이스-SB,,한국에스비식품(주),음료베이스,,식품제조가공업,"고유의 색상과 향미를 가지고 이물,이미,이취가 없어야 한다.",PE(내면),1)먹는 물 등과 혼합하여 음용한다.,O,제조일로부터 12개월,해당없음,아니오,
196903640041818 ,20260109,20260201,19690364004 ,SB애플,,한국에스비식품(주),과.채음료,,식품제조가공업,"고유의 색상과 향미를 가지고 이물,이미,이취가 없어야 한다.",PE(내면),"(1)용도 : 음료 첨가용
(2)용법 : 일정 양을 투입하여 희석하여 사용한다",O,제조일로부터 12개월,해당없음,아니오,
19970443044467 ,20260109,20260114,19970443044 ,그랑베리,,(주)다정,과.채주스,,식품제조가공업,고유의 향미가 있고 이미·이취가 없는 보라색의 액상,"폴리프로필렌(PP), 폴리에틸렌(PE)","1일 1~2회, 1회 1포를 섭취하십시오.",O,제조일로부터 24개월,해당없음,아니오,
19780614001490 ,20260108,20260109,19780614001 ,칠성사이다제로라임,,롯데칠성음료(주),탄산음료,,식품제조가공업,고유의 색택과 향미를 지닌 액상식품,"금속캔(CAN), 합성수지재(PET)",제품 그대로 음용한다,O,"캔 : 제조일로부터 12개월, 펫 : 제조일로부터 9개월",아니오,아니오,
19930461022412 ,20260108,20260113,19930461022 ,이롬 베베 프룬 사과 주스,,연세대학교 연세유업,과.채주스,,식품제조가공업,갈색의 균일한 액체,무균종이팩 (내면:폴리에틸렌),직접음용,O,제조일로부터 8개월,해당없음,아니오,
19930461022413 ,20260108,20260113,19930461022 ,이롬 베베 배 도라지 주스,,연세대학교 연세유업,과.채주스,,식품제조가공업,갈색의 균일한 액체,무균종이팩 (내면:폴리에틸렌),직접음용,O,제조일로부터 8개월,해당없음,아니오,
19710570001641 ,20260107,20260207,19710570001 ,브레인160,,주식회사 네이처셀 칠곡공장,혼합음료,,식품제조가공업,"고유의 색택과 향미를 지니며 이미,이취,이물이 없을것","캔류(철,알루미늄)",제품그대로 음용한다,N,제조일로부터 24개월,해당없음,아니오,
19880607021494 ,20251219,20251227,19880607021 ,리얼 유기농 블루베리착즙 100,,(주)케이지앤에프,과.채주스,,식품제조가공업,고유의 향미가 있고 이미·이취가 없는 탁한 자주색의 액상,PE(폴리에틸렌),"1일 1~3회, 1회 1포 섭취하십시오.",O,제조일로부터 24개월,해당없음,아니오,
19780614001489 ,20251218,20251219,19780614001 ,델몬트스퀴즈포도에이드,,롯데칠성음료(주),혼합음료,,식품제조가공업,고유의 색택과 향미를 지닌 액상식품,금속캔(CAN),제품 그대로 음용한다,O,제조일로부터 12개월,아니오,아니오,
19780614001488 ,20251218,20251219,19780614001 ,델몬트스퀴즈사과에이드,,롯데칠성음료(주),혼합음료,,식품제조가공업,고유의 색택과 향미를 지닌 액상식품,금속캔(CAN),제품 그대로 음용한다,O,제조일로부터 12개월,아니오,아니오,
19930461022397 ,20251217,20251219,19930461022 ,연세 아이처음주스 프룬사과,,연세대학교 연세유업,과.채주스,,식품제조가공업,갈색의 균일한 액체,무균종이팩 (내면:폴리에틸렌),직접음용,O,제조일로부터 8개월,해당없음,아니오,
2002055419833 ,20251124,20251127,20020554198 ,꼭지농원 사과주스,,풍기고려삼농업회사법인(주),과.채주스,,식품제조가공업,고유한 성상을 가지고 이미 이취가 없음,폴리에틸렌,"1일 1~3회, 직접섭취",O,제조일로부터 2년까지,해당없음,아니오,
